# Email from Martha Boyer to Jane Rigby, Sept 20, 2022.
#Here are some preliminary zeropoints from the Cycle 1 data.  They're aren't quite ready for prime time,
#but a quick check with the M92 ERS data suggest they're looking pretty good.
#I used the CALSPEC model for P330E -- I'm pretty sure it's the same one NIRISS is using, but I need to verify.
#I'm working on some data from an A-type star now, and we're getting a white dwarf standard a couple of days
#from now, so we'll have some good comparisons soon.
#
        filter   detector        PHOTMJSR                     std  
   CLEAR+F070W      NRCB4   3.8062853028456916    0.013595903399850062  
   CLEAR+F090W      NRCB4   3.8055971092268397      2.1273633417490414  
   CLEAR+F115W      NRCB4   3.3800060832550995      2.0515466402064106  
   CLEAR+F150W      NRCB4   1.8175860290046497   0.0028146872817221835  
   CLEAR+F200W      NRCB4   1.7705716453386136   0.0019466677360590046  
   CLEAR+F140M      NRCB4    4.551057632722718     0.02162023003945901  
  F162M+F150W2      NRCB4    4.259779368918269    0.006258491093844132  
   CLEAR+F182M      NRCB4   3.2926333484107353     0.00361068945307208  
   CLEAR+F210M      NRCB4    4.205995095240843     0.02437878769907531  
  F164N+F150W2      NRCB4     42.1150129011958     0.33031793864991116  
   CLEAR+F187N      NRCB4    39.41264297825553     0.19829875683669568  
   CLEAR+F212N      NRCB4    37.56570315653149      0.2688694390303862  
# Martha sent long wavelength folters on 9/23/2022
#Here are the preliminary P330E ZPs for the LW filters:
#        filter   detector   PHOTMJSR      std  
   CLEAR+F277W   NRCBLONG     0.4208   0.0103  
   CLEAR+F356W   NRCBLONG     0.3766   0.0012  
   CLEAR+F444W   NRCBLONG     0.3709   0.0007  
   CLEAR+F250M   NRCBLONG     1.6654   0.0129  
   CLEAR+F300M   NRCBLONG     0.9634   0.0073  
   CLEAR+F335M   NRCBLONG     0.8525   0.0039  
   CLEAR+F360M   NRCBLONG     0.8755   0.0068  
   CLEAR+F410M   NRCBLONG     0.8740   0.0064  
   CLEAR+F430M   NRCBLONG     1.7146   0.0113  
   CLEAR+F460M   NRCBLONG     2.0811   0.0160  
   CLEAR+F480M   NRCBLONG     1.4742   0.0143  
  F323N+F322W2   NRCBLONG    12.1855   0.1478  
   F405N+F444W   NRCBLONG     9.7113   0.1039  
   F466N+F444W   NRCBLONG    12.6333   0.1360  
   F470N+F444W   NRCBLONG    13.9456   0.1616  

